OrderID,OrderDate,CustomerID,CustomerType,Region,State,Product,Category,Quantity,UnitPrice,Discount,SalesChannel,PaymentMethod,ShippingMethod,Returned,CustomerRating
ORD-106759,########,CUST-3163,New,Northeast,NY,Mechanical Keyboard,Electronics,1,88.77,0.15,Marketplace,Debit Card,Express,No,4
ORD-108608,########,CUST-6602,Returning,West,WA,Yoga Mat,Fitness,1,33.69,0,Corporate,Credit Card,Next Day,No,3
ORD-107638,6/5/2026,CUST-3128,Returning,Midwest,OH,Foam Roller,Fitness,1,26.22,0.1,Online,PayPal,Standard,No,4
ORD-104753,########,CUST-2488,Returning,West,OR,Office Chair,Home & Office,1,178.05,0.15,Retail Store,Apple Pay,Next Day,No,3
ORD-107334,########,CUST-6572,NEW,West,AZ,Resistance Bands,Fitness,1,24.81,0,Retail Store,Apple Pay,Express,No,3
ORD-111141,########,CUST-1042,Returning,Midwest,MO,Notebook Set,Home & Office,4,20.06,0.05,Online,Bank Transfer,2-Day,No,4
ORD-109742,########,CUST-6302,Returning,Midwest,OH,Monitor Stand,Home & Office,1,63.63,0,Online,Credit Card,Express,No,4
ORD-108559,6/7/2026,CUST-1835,VIP,Midwest,MI,Bluetooth Speaker,Electronics,1,72.63,0,Marketplace,Apple Pay,Standard,No,2
ORD-106523,1/9/2026,CUST-5795,Returning,West,AZ,Standing Desk,Home & Office,1,308.93,0.15,Online,Debit Card,Express,No,5
ORD-107784,4/2/2026,CUST-4066,New,Southwest,TX,Desk Lamp,Home & Office,1,$41.43,0,Retail Store,PayPal,2-Day,No,
ORD-108345,########,CUST-2710,Returning,Southeast,TN,Bluetooth Speaker,Electronics,3,74.4,0,Online,PayPal,2-Day,No,2
ORD-105880,2/9/2026,CUST-6650,Returning,Midwest,MI,Notebook Set,Home & Office,1,18.6,0.05,Retail Store,Bank Transfer,Standard,No,
ORD-106773,########,CUST-6334,Returning,Southeast,VA,Backpack,Clothing,4,53.58,0.05,Online,Apple Pay,Standard,No,5
ORD-104241,########,CUST-1724,Returning,Northeast,NJ,Running Shoes,Clothing,1,79.21,0.1,Marketplace,Debit Card,Standard,No,4
ORD-110894,########,CUST-1154,Returning,Midwest,IL,Yoga Mat,Fitness,1,34.67,0.05,Marketplace,Bank Transfer,Standard,No,4
ORD-100851,5/4/2025,CUST-1595,Returning,northeast,NY,Desk Organizer,Home & Office,5,23.24,0.1,Marketplace,Debit Card,Next Day,No,5
ORD-103407,########,CUST-1209,Returning,Midwest,IL,Wireless Headphones,Electronics,2,84.63,0.1,Marketplace,Apple Pay,Standard,No,3
ORD-108908,########,CUST-5095,Returning,Northeast,PA,Hoodie,Clothing,2,55.25,0.05,Online,Apple Pay,Standard,No,5
ORD-107343,########,CUST-1587,Returning,Southeast,VA,USB-C Hub,Electronics,2,41.26,0,Retail Store,Apple Pay,Standard,No,5
ORD-100544,1/6/2026,CUST-2675,Returning,Southeast,NC,Jeans,Clothing,2,62.34,0,Retail Store,Bank Transfer,Standard,Yes,4
ORD-109990,########,CUST-3102,Returning,Northeast,NJ,Smart Watch,Electronics,3,144.68,0.05,Online,PayPal,Standard,No,1
ORD-109500,########,CUST-6169,New,West,OR,Wireless Mouse,Electronics,1,32.24,0,Retail Store,PayPal,Standard,No,4
ORD-109152,########,CUST-4881,VIP,Northeast,PA,Dumbbell Set,Fitness,3,125.23,0,Online,Debit Card,Standard,No,2
ORD-108749,########,CUST-3247,Returning,Midwest,MI,Wireless Mouse,Electronics,5,32.3,0.1,Online,Debit Card,Express,No,3
ORD-109401,########,CUST-3062,Returning,Southeast,NC,Yoga Mat,Fitness,1,36.07,0,Online,PayPal,2-Day,No,3
ORD-106106,########,CUST-3202,Returning,Midwest,MI,Mechanical Keyboard,Electronics,3,99.64,0.15,Online,Bank Transfer,Standard,No,4
ORD-103600,########,CUST-2688,VIP,Midwest,MO,Fitness Tracker,Fitness,3,73.69,0.15,Corporate,Apple Pay,Standard,No,2
ORD-109034,2/5/2025,CUST-5407,Returning,Northeast,PA,Wireless Headphones,Electronics,2,93.23,0,Marketplace,PayPal,2-Day,No,4
ORD-104341,########,CUST-6385,Returning,Southeast,NC,Desk Organizer,Home & Office,5,26.52,0.1,Retail Store,Debit Card,Standard,No,3
ORD-104865,########,CUST-1607,Returning,West,WA,Notebook Set,Home & Office,1,18.64,0.05,Online,Credit Card,Standard,No,2
ORD-108330,########,CUST-1445,New,West,CA,Desk Lamp,Home & Office,1,42.47,0,Online,PayPal,Standard,No,5
ORD-101035,6/7/2025,CUST-4584,Returning,Northeast,PA,Bluetooth Speaker,Electronics,3,71.38,0.05,Online,Bank Transfer,2-Day,No,5
ORD-104410,7/1/2025,CUST-5180,Returning,Midwest,MI,Bluetooth Speaker,Electronics,3,68.63,0,Online,PayPal,2-Day,No,5
ORD-109939,########,CUST-5596,New,West,AZ,Bluetooth Speaker,Electronics,4,71.24,0,Online,Credit Card,Express,No,4
ORD-103001,########,CUST-4250,RETURNING,West,OR,Fitness Tracker,fitness,2,85.72,0,Retail Store,Debit Card,Standard,No,3
ORD-112235,########,CUST-4372,Returning,MIDWEST,MO,Mechanical Keyboard,Electronics,1,100.13,0,Online,Apple Pay,Express,No,4
ORD-107087,7/1/2025,CUST-6350,Returning,Midwest,MO,Wireless Mouse,Electronics,2,37.63,0.05,Corporate,Debit Card,Next Day,No,3
ORD-105819,########,CUST-3950,New,Northeast,PA,Foam Roller,Fitness,1,26.55,0,Corporate,Credit Card,Express,No,3
ORD-107646,########,CUST-1858,Returning,Northeast,NY,Dumbbell Set,FITNESS,1,138.62,0,Marketplace,Debit Card,Next Day,No,4
ORD-110336,########,CUST-6746,Returning,Midwest,MI,Dumbbell Set,Fitness,1,137.5,0.05,Retail Store,PayPal,Standard,No,4
ORD-104349,########,CUST-2632,Returning,West,NV,Fitness Tracker,Fitness,5,79.6,0.15,Retail Store,Apple Pay,Standard,No,3
ORD-101451,########,CUST-2376,Returning,Southwest,NM,Resistance Bands,Fitness,1,22.7,0,Online,PayPal,Standard,No,5
ORD-103297,########,CUST-4749,New,Midwest,MN,Wireless Mouse,Electronics,2,33.36,0.1,Marketplace,Credit Card,Standard,Yes,5
ORD-106231,########,CUST-2806,Returning,Midwest,MO,Mechanical Keyboard,Electronics,3,89.71,0,Online,Apple Pay,Standard,No,4
ORD-105222,7/6/2026,CUST-1246,Returning,Midwest,MN,Wireless Headphones,Electronics,2,$92.12,0,Online,Bank Transfer,Next Day,No,
ORD-106551,########,CUST-1120,Returning,West,CA,Jeans,Clothing,2,60.65,0.05,Retail Store,PayPal,Standard,Yes,4
ORD-102710,########,CUST-2632,Returning,Southeast,GA,Desk Lamp,Home & Office,2,44.43,0.15,Marketplace,Apple Pay,Next Day,No,3
ORD-101864,1/4/2026,CUST-2312,Returning,Midwest,OH,Yoga Mat,Fitness,2,37.18,0,Online,Bank Transfer,Express,No,
ORD-100019,########,CUST-5136,Returning,West,NV,Dumbbell Set,Fitness,2,125.3,0,Online,PayPal,2-Day,No,3
ORD-108016,7/4/2025,CUST-5908,Returning,Southeast,VA,Wireless Headphones,Electronics,1,91.51,0,Online,Apple Pay,Standard,No,5
ORD-102530,4/9/2025,CUST-6207,Returning,Northeast,NY,Hoodie,Clothing,2,55.62,0.1,Retail Store,Credit Card,Standard,No,3
ORD-100993,########,CUST-5491,Returning,Southwest,OK,Smart Watch,Electronics,1,157.4,0.05,Retail Store,PayPal,Express,No,5
ORD-104047,########,CUST-4106,Returning,Midwest,MO,Water Bottle,Fitness,1,19.92,0.05,Online,Bank Transfer,Standard,No,5
ORD-104097,########,CUST-3984,RETURNING,West,OR,USB-C Hub,Electronics,2,37.63,0,Corporate,Apple Pay,Standard,No,5
ORD-107424,########,CUST-5797,New,Northeast,NJ,Notebook Set,Home & Office,2,18.54,0,Online,PayPal,Express,No,4
ORD-112034,########,CUST-2248,Returning,West,CA,Desk Organizer,Home & Office,1,24.09,0.15,Retail Store,Credit Card,2-Day,No,5
ORD-105266,3/8/2026,CUST-6413,Returning,Northeast,NY,USB-C Hub,Electronics,2,40.88,0.05,Retail Store,Credit Card,2-Day,No,4
ORD-108312,########,CUST-5778,Returning,Midwest,OH,Fitness Tracker,FITNESS,3,79.26,0,Online,Debit Card,Standard,No,3
ORD-105513,########,CUST-5338,Returning,Midwest,MI,Desk Lamp,Home & Office,1,41.66,0.1,Marketplace,Bank Transfer,Next Day,No,5
ORD-105936,########,CUST-4003,Returning,West,WA,Foam Roller,Fitness,1,27.19,0,Marketplace,Debit Card,Next Day,No,5
ORD-103726,2/8/2025,CUST-3069,returning,Northeast,PA,Desk Lamp,Home & Office,2,46.04,0.2,Retail Store,Debit Card,Standard,No,3
ORD-102761,########,CUST-5196,Returning,Southeast,VA,Foam Roller,Fitness,1,27.18,0,Marketplace,Debit Card,Standard,No,5
ORD-106973,########,CUST-3627,Returning,SOUTHEAST,FL,Notebook Set,Home & Office,1,17.64,0.05,Retail Store,Debit Card,Express,No,3
ORD-102979,########,CUST-5664,Returning,Southwest,NM,Hoodie,Clothing,1,51.56,0,Corporate,Debit Card,Express,No,4
ORD-111156,########,CUST-4023,Returning,MIDWEST,MN,Bluetooth Speaker,Electronics,1,70.15,0,Marketplace,Credit Card,Standard,No,4
ORD-110300,########,CUST-6667,Returning,Midwest,MN,Jacket,Clothing,1,121.85,0.05,Marketplace,Bank Transfer,Standard,No,3
ORD-107794,########,CUST-3411,Returning,West,WA,Resistance Bands,Fitness,3,22.71,0.1,Corporate,Credit Card,Next Day,No,4
ORD-105304,########,CUST-4522,Returning,Southwest,TX,Standing Desk,Home & Office,2,337.64,0.15,Online,PayPal,Standard,No,4
ORD-105653,########,CUST-3757,VIP,Southwest,TX,Notebook Set,Home & Office,1,18.45,0,Online,Credit Card,Standard,Yes,2
ORD-104813,########,CUST-6714,Returning,West,CA,Running Shoes,CLOTHING,3,90.87,0.15,Online,Debit Card,2-Day,No,3
ORD-106557,4/9/2026,CUST-4227,Returning,West,WA,Wireless Mouse,Electronics,5,37.17,0,Online,Credit Card,Standard,No,
ORD-100403,########,CUST-5473,Returning,Northeast,MA,Office Chair,Home & Office,1,191.42,0.15,Retail Store,Credit Card,Standard,No,5
ORD-110734,7/6/2025,CUST-2207,VIP,Southeast,NC,Smart Watch,Electronics,3,154.41,0,Retail Store,Credit Card,Express,No,
ORD-100419,########,CUST-2156,New,West,AZ,Office Chair,home & office,1,180.97,0.05,Retail Store,Bank Transfer,Standard,No,5
ORD-111376,6/1/2026,CUST-6092,Returning,Southwest,TX,Office Chair,Home & Office,5,192.83,0,Online,Debit Card,2-Day,Yes,4
ORD-101106,########,CUST-5594,Returning,Northeast,NY,Monitor Stand,Home & Office,1,61.22,0,Marketplace,PayPal,Next Day,Yes,5
ORD-101887,########,CUST-6006,VIP,Northeast,NY,Wireless Mouse,Electronics,5,35.8,0,Online,Bank Transfer,Standard,No,5
ORD-107755,########,CUST-4006,Returning,Southwest,TX,Smart Watch,Electronics,3,142.64,0.1,Corporate,PayPal,Next Day,No,4
ORD-109989,########,CUST-4076,New,Northeast,NJ,Wireless Mouse,electronics,2,36.71,0.05,Online,Debit Card,Standard,No,4
ORD-103514,########,CUST-6711,Returning,Southeast,VA,USB-C Hub,Electronics,3,41.54,0,Online,Debit Card,2-Day,No,5
ORD-106129,9/1/2025,CUST-6404,Returning,West,NV,Smart Watch,Electronics,2,$139.17,0,Corporate,PayPal,Standard,No,5
ORD-105171,########,CUST-2234,New,Northeast,MA,Monitor Stand,Home & Office,1,56.06,0.05,Online,Apple Pay,Standard,No,5
ORD-106019,########,CUST-6353,Returning,West,NV,Smart Watch,Electronics,1,159.04,0,Retail Store,PayPal,Standard,No,5
ORD-103455,8/6/2025,CUST-2808,Returning,Midwest,MO,Desk Lamp,Home & Office,2,46.96,0.1,Online,Apple Pay,Express,No,3
ORD-108744,########,CUST-1251,Returning,Northeast,NJ,Foam Roller,Fitness,1,26.88,0.1,Online,Debit Card,Standard,No,5
ORD-109452,########,CUST-4277,VIP,Northeast,NJ,Water Bottle,Fitness,1,20.4,0,Marketplace,PayPal,Standard,No,4
ORD-111407,########,CUST-5154,Returning,West,AZ,T-Shirt,Clothing,3,24.19,0.05,Retail Store,Debit Card,Standard,No,5
ORD-104719,########,CUST-5990,Returning,Southeast,VA,Notebook Set,Home & Office,1,17.87,0,Retail Store,Debit Card,Standard,No,4
ORD-110895,########,CUST-3688,Returning,Midwest,MI,Hoodie,Clothing,1,58.78,0,Online,PayPal,Express,No,3
ORD-108922,7/5/2025,CUST-5068,New,Northeast,PA,USB-C Hub,Electronics,1,39.55,0.15,Retail Store,Apple Pay,Standard,No,3
ORD-103741,########,CUST-2375,Returning,West,NV,Office Chair,Home & Office,4,185.19,0.2,Retail Store,PayPal,Express,No,4
ORD-104564,########,CUST-2697,New,Northeast,NJ,Notebook Set,Home & Office,1,$19.94,0,Marketplace,Debit Card,Standard,No,4
ORD-110495,########,CUST-5635,Returning,West,CA,Bluetooth Speaker,Electronics,1,73.71,0,Retail Store,PayPal,Express,No,4
ORD-102754,########,CUST-1701,Returning,West,NV,Jeans,Clothing,4,60.65,0,Online,Bank Transfer,Express,No,4
ORD-103084,########,CUST-2544,Returning,West,WA,Standing Desk,Home & Office,1,310.58,0.1,Retail Store,PayPal,2-Day,No,4
ORD-102645,########,CUST-4502,New,Southwest,TX,Wireless Headphones,Electronics,5,91.05,0.1,Online,Credit Card,Express,No,4
ORD-108875,########,CUST-2575,Returning,Northeast,NJ,Jacket,Clothing,3,125.28,0.05,Online,Apple Pay,2-Day,No,4
ORD-107202,########,CUST-2480,Returning,Midwest,OH,Smart Watch,Electronics,1,139.89,0.15,Online,Credit Card,Express,No,3
ORD-111736,########,CUST-3349,New,Southeast,FL,T-Shirt,Clothing,3,24.73,0.1,Retail Store,Debit Card,Standard,No,4
ORD-102834,4/2/2026,CUST-2087,New,Midwest,OH,Dumbbell Set,Fitness,1,124,0.15,Retail Store,Credit Card,Express,No,5
ORD-104651,########,CUST-2774,New,Southwest,TX,Jacket,Clothing,4,122.18,0.2,Marketplace,Bank Transfer,Standard,No,5
ORD-111149,########,CUST-5468,New,Southeast,TN,Dumbbell Set,Fitness,2,127.66,0.05,Online,PayPal,Express,No,4
ORD-101267,########,CUST-1064,New,Northeast,NJ,Standing Desk,Home & Office,1,312.98,0,Online,Bank Transfer,Standard,No,3
ORD-104562,########,CUST-1904,Returning,Midwest,OH,USB-C Hub,Electronics,1,39.27,0,Online,Debit Card,Express,No,4
ORD-108075,########,CUST-5339,Returning,West,NV,Yoga Mat,Fitness,1,33.63,0.05,Corporate,Apple Pay,Next Day,No,4
ORD-111035,########,CUST-6195,Returning,West,OR,USB-C Hub,Electronics,1,38.17,0.1,Online,PayPal,Standard,No,
ORD-111125,########,CUST-6285,New,Southwest,OK,Smart Watch,Electronics,2,142.02,0,Marketplace,Debit Card,Standard,No,4
ORD-108703,########,CUST-6437,Returning,Southeast,VA,Jacket,CLOTHING,3,127.81,0,Online,Debit Card,2-Day,No,3
ORD-105497,########,CUST-1816,New,Midwest,MO,Resistance Bands,Fitness,1,23.84,0.05,Retail Store,PayPal,Next Day,No,
ORD-101894,3/5/2025,CUST-2227,Returning,Southeast,VA,Yoga Mat,Fitness,1,37.36,0.1,Marketplace,Credit Card,2-Day,No,3
ORD-110577,3/1/2025,CUST-6613,Returning,Northeast,PA,T-Shirt,Clothing,2,24.86,0,Marketplace,PayPal,2-Day,No,5
ORD-103768,########,CUST-6239,Returning,West,NV,Wireless Mouse,Electronics,1,32.65,0.05,Marketplace,Credit Card,Express,No,5
ORD-107736,########,CUST-1783,VIP,Northeast,PA,Office Chair,Home & Office,1,195.47,0.2,Marketplace,Bank Transfer,Standard,No,4
ORD-112036,########,CUST-4457,New,NORTHEAST,NY,Dumbbell Set,Fitness,1,122.28,0.05,Online,PayPal,Standard,No,4
ORD-102452,########,CUST-6606,New,Southeast,FL,Wireless Mouse,Electronics,2,34.79,0,Retail Store,Credit Card,2-Day,No,5
ORD-103392,1/3/2025,CUST-4615,Returning,Northeast,NY,Fitness Tracker,Fitness,1,76.16,0.05,Online,Debit Card,Standard,Yes,4
ORD-108867,3/4/2025,CUST-6394,Returning,Southeast,GA,Water Bottle,Fitness,4,19.4,0.05,Online,Debit Card,2-Day,No,5
ORD-105833,########,CUST-6777,New,Northeast,NY,Bluetooth Speaker,Electronics,1,73.5,0.05,Online,Bank Transfer,Standard,No,4
ORD-101111,########,CUST-4251,RETURNING,Southwest,TX,Smart Watch,Electronics,2,149.74,0.1,Corporate,Bank Transfer,Standard,No,4
ORD-109147,########,CUST-5963,New,Southwest,NM,Office Chair,home & office,1,182.32,0.05,Online,Credit Card,2-Day,No,4
ORD-109638,########,CUST-4657,Returning,West,NV,USB-C Hub,Electronics,1,40.79,0.1,Online,Debit Card,Standard,No,3
ORD-106302,########,CUST-1858,Returning,Southeast,TN,Smart Watch,Electronics,1,148.98,0.05,Online,Bank Transfer,Express,No,4
ORD-110324,########,CUST-6467,New,Midwest,OH,T-Shirt,Clothing,4,24.79,0.1,Online,Debit Card,Express,No,4
ORD-103641,########,CUST-4294,Returning,Southwest,OK,Wireless Headphones,Electronics,3,88.92,0.1,Marketplace,PayPal,Standard,No,5
ORD-110970,########,CUST-1366,New,Southwest,TX,Monitor Stand,Home & Office,2,64.09,0.05,Online,Bank Transfer,Standard,No,4
ORD-107377,2/7/2026,CUST-3527,Returning,Southwest,TX,Notebook Set,Home & Office,2,17.5,0.2,Retail Store,PayPal,Standard,No,5
ORD-111979,########,CUST-6114,New,Southeast,TN,Yoga Mat,Fitness,2,32.79,0,Online,Debit Card,Standard,No,4
ORD-106367,########,CUST-1893,Returning,Southeast,FL,Office Chair,Home & Office,3,185.53,0,Online,Apple Pay,Standard,No,4
ORD-107396,########,CUST-4887,Returning,West,OR,Backpack,Clothing,3,48.19,0,Retail Store,Credit Card,Standard,No,4
ORD-100477,########,CUST-2493,New,Southwest,TX,Standing Desk,Home & Office,5,325.01,0.05,Online,Apple Pay,Standard,No,4
ORD-106485,########,CUST-6398,Returning,Northeast,NY,Backpack,Clothing,1,47.66,0,Online,Bank Transfer,2-Day,No,3
ORD-103538,########,CUST-6628,VIP,Midwest,MO,Standing Desk,Home & Office,2,339.61,0.05,Online,Apple Pay,Standard,No,4
ORD-103287,########,CUST-2127,New,Southwest,TX,Jeans,Clothing,1,63.75,0.1,Online,PayPal,Express,Yes,3
ORD-106667,########,CUST-4380,Returning,West,AZ,Bluetooth Speaker,Electronics,1,68,0.15,Marketplace,PayPal,Next Day,No,1
